"Timestamp","Como funciona a sua rotina diária para registrar e acompanhar a evolução dos seus sintomas e medicações?","Quais são as suas maiores dificuldades ao tentar organizar o seu histórico médico antes de uma consulta?","Pode me contar sobre uma situação recente em que você esqueceu ou perdeu alguma informação importante sobre o seu tratamento?","Como você se sente em relação à clareza das informações que recebe sobre a evolução da sua própria saúde?","O que tornaria o gerenciamento da sua saúde mais simples e menos cansativo no dia a dia?"
"2026/05/13 5:27:43 PM GMT-3","Eu me médico sozinha tenho ciência de cada medicamento ","Primeiro às marcação de consulta que até o momento não fui atendida e meu esposo me ajuda ","Não sei por que quem me ajuda e meu esposo ou alguém da minha família ","Mais ou menos às vezes não bem","Mais disponibilidade na gestão dos médicos ou na saúde no total "
"2026/05/13 5:31:36 PM GMT-3","REGISTRO EM PLANILHAS ","IMPRIMIR TODOS OS PAPEIS 
","NA ULTIMA CONSULTA SAI TÃO ATRASADA QUE ESQUECI O CONTROLE GLICEMICO ","CONFUSA ","MAIS INFORMAÇÃO PARA TENTAR ENCONTRAR NOVOS MEIOS 
"
"2026/05/13 5:33:58 PM GMT-3","Eu descanso bem e me alimento bem tbm","Nenhuma.","Nao me lembro de nenhuma ","Me sinto bem","Se eu nao tiver que fazer rotinas de dona de casa"
"2026/05/13 6:43:42 PM GMT-3","Acorda faço 10 tomo café faço comida verifico novamente o destro almoço ao meio-dia 2h00 depois eu faço novamente o destro tomo café 2h00 depois eu faço novamente o destro às 18 ou às 19 eu janto 2h00 depois eu faço novamente o destro tomo café à noite dependendo da quantidade de MG estiver no resultado do destro eu preciso ajustar a dose de insulina","Passar a limpo todos os destros que eu fiz durante três meses pois não enxergo","Geralmente oftalmologista não me dá nenhuma opção sobre como se cuidar para que meu grau de visão piore","Na teoria está tudo bem na prática não","Um aparelho que me disse automaticamente o meu destro sem eu precisar furar o meu dedo e não me preocupar com hipoglicemia"
"2026/05/13 10:29:21 PM GMT-3","A evolução ela é particular de cada paciente sendo obrigatório uma avaliação clínica de sintomas e a avaliação a olho nu para que haja a medicação de forma correta e que o paciente venha apresentar melhora ou cura.","Não tenho dificuldade pois já tenho essa rotina","Não me recordo, pois sempre fico muito atenta ","Me sinto bem em algumas situações pois Como conhecedora da área da saúde conseguimos saber quem realmente segue o protocolo ","Ser menos burocrático e funcionar como realmente deveria "
